Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Chromatographic peak width (min),Identifications,Anova (p),q Value,Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%,adi_epi_1,adi_epi_2,adi_epi_3,adi_ing_1,adi_ing_2,adi_ing_3,adi_peri_1,adi_peri_2,adi_peri_3,adi_retro_1,adi_retro_2,adi_retro_3,adi_ibat_1,adi_ibat_2,adi_ibat_3,svf_epi_1,svf_epi_2,svf_epi_3,svf_ing_1,svf_ing_2,svf_ing_3,svf_peri_1,svf_peri_2,svf_peri_3,svf_retro_1,svf_retro_2,svf_retro_3,svf_ibat_1,svf_ibat_2,svf_ibat_3
5.85_310.3460m/z,,310.3459832,1,5.848216667,0.05385,2,0.156096421,0.022894346,1.535623156,Condition 9,Condition 1,100,813.4751233,2.64,616.1024216,427.1428806,786.6729991,555.4929263,631.7113798,495.587719,364.3241518,563.2762444,695.2951289,730.5752732,617.4169172,575.7525013,563.764305,620.8895104,732.1202545,702.76058,655.7521267,672.7811976,691.3180008,638.7677154,673.7464618,545.8892602,300.0460242,765.2854932,666.1156725,865.7980417,657.638275,651.7349482,634.2891129,716.1276862
0.04_1014.9381m/z,,1014.938136,1,0.038333333,0.02695,21,0.156140879,0.022894346,16.74949473,Condition 6,Condition 10,100 - 34.7 - 24.9,16548.14387,19.41,0,2334.850009,10403.21181,7083.940604,5582.743487,10937.75192,3546.3485,4703.323054,9339.60609,2659.8102,14669.89673,5918.274313,9471.036365,18441.72393,26853.72483,25281.13198,8516.507357,12306.58049,2085.643573,1987.469879,6948.870557,4727.050208,3250.321235,3876.735671,3275.095138,650.9205322,1439.989276,0,579.0154108,1910.859017
15.21_143.1428m/z,,143.1428453,1,15.21418333,0.049483333,23,0.156201476,0.022899965,1.508323955,Condition 9,Condition 1,100,957.1493936,5.76,744.3984408,773.0694282,697.8228942,729.3380203,775.7429254,796.2673052,631.6491776,803.6913672,732.8442375,830.9695069,872.7497493,742.2373712,796.8806265,768.9122643,719.1075045,730.3363121,389.6367215,757.0951135,602.3108091,639.8589428,731.4265564,755.2790473,592.1405937,1086.225878,1049.597846,737.2193743,787.737501,711.8315086,814.0788708,778.9180145
10.11_682.5955m/z,,682.5954536,1,10.10946667,0.02805,1,0.156230557,0.022900961,Infinity,Condition 4,Condition 8,100 - 40.7,9730.120368,90.5,17617.52501,1278.504051,5739.212531,514.0606266,7700.802703,0,0,164.618103,0,0,28644.58695,558.579895,916.1204457,16467.01363,0,495.5199203,0,0,0,139.2201691,0,0,0,0,5972.570004,0,0,0,0,0
8.44_882.7575m/z,,882.7575439,1,8.443,0.137383333,52,0.156304149,0.022905216,236.0875282,Condition 4,Condition 8,100 - 37.4 - 23.1,137301.9822,35.68,0,4081.791996,567.0131149,112344.9708,3877.706561,970.027092,3599.200104,1114.647736,1072.928688,88188.62252,187072.7369,138875.5869,1852.958694,4177.273321,26320.77628,114823.4455,50083.79751,1254.60354,0,495.8742164,76685.36613,801.004776,749.8368978,0,211.7865387,364.8053741,4535.472626,183.4545418,20487.43636,7652.832983
9.45_918.6887m/z,,918.6886709,1,9.44945,0.112066667,7,0.15665376,0.022949905,2.350736207,Condition 2,Condition 8,100 - 35.2,10087.8495,8.19,17588.69981,7836.314287,6802.550677,11665.0768,12474.07203,7745.128422,6781.583244,4457.470375,7620.75618,7930.253766,10418.49576,5690.878398,5632.077885,7028.41581,6780.014956,10143.26102,6188.92386,3950.382213,6710.649696,5995.736025,5511.277696,3555.177536,5997.68938,1938.884544,7081.22253,7063.358426,4158.367539,5294.406844,9536.165853,7857.754838
0.04_904.7498n,904.7498405,905.757117,1,0.038333333,0.092866667,59,0.157046562,0.022997617,6.088177748,Condition 1,Condition 10,100 - 65.7 - 45.3 - 26.1,1092650.39,7.23,21029.93669,1798204.031,1716385.434,1157126.624,924363.2233,919043.7152,1031385.428,871653.6804,966760.9517,1078565.609,922658.8478,1018036.091,1165255.542,1001573.834,1311464.202,1286453.129,463396.7167,396326.2317,283160.5225,339957.4308,264303.1936,295012.0424,246494.8072,305987.4122,251563.3025,219941.8428,257144.0902,136931.1896,165710.4493,166309.3381
14.42_381.3139m/z,,381.3138871,1,14.41775,0.02745,8,0.157595502,0.023071429,Infinity,Condition 2,Condition 3,100,251.7008656,26.08,95.84902083,0,0,237.0296531,336.3330069,220.8075506,0,0,0,189.2168893,153.7572316,0,0,0,0,0.544108439,346.9624973,0,6.770488613,174.809494,0,0,242.4648492,0,189.075934,0,0,0,0,0
10.61_575.5022m/z,,575.5021523,1,10.6099,0.055816667,1,0.157927144,0.023110105,28.93871245,Condition 6,Condition 9,100 - 27.5,44658.07249,18.14,7730.13212,10858.48497,3644.171684,6443.132548,8176.474465,9184.28445,3372.471844,6827.86564,4967.542323,4527.640792,4030.45829,7098.918927,10356.28579,21500.21016,10589.3339,4248.688347,119595.7819,1013.356943,3962.228928,7551.081978,953.1734848,3848.607933,2935.812236,496.2379227,0,530.542732,3837.490149,1455.246708,1155.720421,3756.803972
10.69_907.7695m/z,,907.7695106,1,10.68798333,0.5799,134,0.158152184,0.023136448,4.007653726,Condition 8,Condition 10,100 - 60.2 - 29.7 - 4.55,532756.6136,23.85,692762.6888,442329.0129,314021.5016,357377.1967,198498.8539,173417.1797,162024.1369,349850.9562,220698.0066,154064.6985,164587.9392,306291.3242,354664.5645,136491.1092,148165.8955,489133.903,340815.8888,25664.48399,374768.4213,271171.412,734290.7026,470776.6828,192037.3712,771529.585,360223.5754,572622.2014,455975.0189,147936.1661,173339.4416,34398.08166
