Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Chromatographic peak width (min),Identifications,Anova (p),q Value,Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%,adi_epi_1,adi_epi_2,adi_epi_3,adi_ing_1,adi_ing_2,adi_ing_3,adi_peri_1,adi_peri_2,adi_peri_3,adi_retro_1,adi_retro_2,adi_retro_3,adi_ibat_1,adi_ibat_2,adi_ibat_3,svf_epi_1,svf_epi_2,svf_epi_3,svf_ing_1,svf_ing_2,svf_ing_3,svf_peri_1,svf_peri_2,svf_peri_3,svf_retro_1,svf_retro_2,svf_retro_3,svf_ibat_1,svf_ibat_2,svf_ibat_3
12.97_891.7062m/z,,891.7062187,1,12.96658333,0.231766667,5,0,0,Infinity,Condition 1,Condition 8,100 - 53,1050776.919,11.28,1457029.402,1045167.044,1203107.051,790247.6877,966855.4691,1148961.772,348461.7182,1082333.522,1134576.126,357454.8605,284317.1999,430019.2274,388329.2064,350225.6424,602780.7357,28040.17957,30265.1925,45764.07503,1595.227219,12788.81429,14565.68284,0,0,0,0,0,0,2177.843094,538.069397,11499.7321
14.82_1073.0191m/z,,1073.019094,1,14.81876667,0.170266667,3,0,0,Infinity,Condition 5,Condition 6,100 - 72.4 - 43.5 - 15.3,604057.664,5.41,58002.3038,58138.1917,25982.89834,77341.4155,67966.53258,69501.80243,19552.84054,147039.2515,168214.9661,80718.65484,118498.6998,91623.42928,568566.3687,723193.9125,704356.3968,0,0,0,0,0,0,0,0,0,0,0,0,1453.515457,2089.607452,6937.232114
13.91_695.5719m/z,,695.5718896,1,13.91111667,0.348266667,7,0,0,Infinity,Condition 8,Condition 1,100 - 49 - 5.83,413154.8662,12.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176277.5985,247166.9177,197334.269,299413.1919,261928.8302,366020.9621,418855.9797,362189.8897,326798.4748,307330.0429,396134.6283,378472.2883,90695.37015,128879.6953,3287.852356
13.71_688.6003m/z,,688.6003472,1,13.71133333,0.358,1,0,0,Infinity,Condition 9,Condition 1,100 - 44.6 - 2.4,379915.6361,6.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189887.5227,270844.1675,208462.1548,334933.5301,259400.8707,357365.3312,378899.0257,319280.5334,310543.4117,344048.0069,347306.2431,332880.2108,107549.7743,160432.6199,11601.76251
12.61_915.7003m/z,,915.7002974,1,12.6136,0.110016667,2,0,0,Infinity,Condition 1,Condition 6,100 - 78 - 32.7,160858.8933,21.74,229146.3697,136202.7344,201447.5052,69841.35383,115924.3311,127909.5893,9126.69977,62990.36844,63897.27248,4962.911211,725.2041616,3530.653671,1405.433563,931.7458576,1075.334412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.93_810.6579m/z,,810.6579455,1,12.93351667,0.149016667,7,0,0,Infinity,Condition 1,Condition 6,100 - 46.9,157491.8702,17.37,313994.5585,218171.4903,52346.17621,132945.1339,63697.05928,74879.04778,21796.29612,148207.374,204846.0396,156392.9559,63727.56364,101680.9324,130093.3849,136678.6164,185877.2479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.35_863.5110m/z,,863.5109859,1,10.34578333,0.320483333,1,0,0,Infinity,Condition 5,Condition 6,100 - 52.4 - 6.01,157379.709,2.75,33171.56958,45949.74981,38479.58918,48388.43748,53971.68269,67342.53686,48459.03481,44720.68854,39974.51386,52949.12777,54803.72685,53087.99593,178669.2072,176959.8091,163797.0017,0,0,0,207.1908056,153.5107355,344.458544,0,0,0,0,0,0,10217.11139,9982.814333,177229.3629
13.37_894.6783m/z,,894.6782877,1,13.36801667,0.109033333,3,0,0,Infinity,Condition 1,Condition 6,100 - 57.1,129303.1418,26.09,228027.6265,139406.3712,101682.458,118024.372,79760.64684,68199.2821,35833.28278,119872.3767,112791.5001,35994.70996,24516.13389,17115.3846,11753.80362,11313.5552,34839.77294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.91_1367.0457m/z,,1367.045679,1,11.91135,0.093333333,1,0,0,Infinity,Condition 5,Condition 6,100 - 87.1 - 30.8,125132.1803,13.95,12103.09637,61595.57196,27093.50623,70727.78715,65065.36553,89272.22443,93201.17702,77589.92313,110335.4798,111404.0072,130985.8373,101561.8131,143685.8566,152606.8907,115983.1888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.12_1034.9081m/z,,1034.908115,1,14.12183333,0.081883333,24,0,0,Infinity,Condition 5,Condition 6,100 - 71.2,122594.4682,29.28,67944.93258,29666.55212,15763.39032,19617.31381,11416.31348,6126.413879,16368.57056,61539.38668,100484.4346,27470.05542,45991.05887,52018.4356,94984.29016,174577.4055,134877.8815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.83_851.7188m/z,,851.7187697,1,13.83188333,0.110433333,51,0,0,Infinity,Condition 1,Condition 6,100,118873.9841,10.79,150255.3311,149987.6133,117890.7112,118035.3357,51415.85693,75789.04053,23494.30273,11372.83472,18964.44568,12772.47729,3816.69043,3280.623535,7616.222656,5206.365234,17775.09961,0,0,0,0,0,0,0,0,0,0,0,0,8964.38739,4646.976746,8484.146118
13.23_660.5696m/z,,660.569637,1,13.2257,0.1375,1,0,0,Infinity,Condition 4,Condition 6,100 - 33.3,114261.7475,2.25,73400.35355,73170.1134,33334.43154,66281.24513,64691.42007,73268.53314,106102.1606,107689.0771,105656.3739,111107.6023,113303.8529,119922.6626,101962.7863,104722.0008,70381.17046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445626013
13.48_773.6611m/z,,773.6610602,1,13.47501667,0.211516667,36,0,0,Infinity,Condition 9,Condition 1,100 - 41.9 - 1.88,113547.2007,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57765.43511,84644.33339,47266.00687,98125.96333,92863.73484,101789.5481,94233.40769,89735.57329,105341.2804,86362.60861,109798.7276,111025.2128,112529.9419,96099.92309,74089.26204
13.75_931.7693m/z,,931.7693365,1,13.74796667,0.07865,126,0,0,Infinity,Condition 6,Condition 1,100 - 33.3,102731.855,18.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99312.41412,77017.43803,108305.708,73564.96597,44659.61919,76184.58275,46233.9688,34523.27948,54005.76331,89427.92367,38176.88154,48442.26527,81758.45359,61090.49044,82385.71362
12.76_782.6260m/z,,782.626,1,12.76233333,0.149066667,3,0,0,Infinity,Condition 5,Condition 6,100 - 50,102327.8947,10.24,86719.35834,60256.11558,17170.52634,41215.01143,8351.965363,10425.21591,3823.584322,79235.78381,93933.37325,35112.32481,22164.108,52377.05084,119401.2924,97287.24969,121878.8518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.22_720.6477m/z,,720.647697,1,12.21865,0.08125,4,0,0,Infinity,Condition 2,Condition 6,100 - 40.5,74651.98423,5.26,52665.72407,47880.80139,46783.27715,75929.24962,80746.67622,79595.01174,1555.407931,26778.80763,42903.91505,17383.42281,13179.56077,20818.74534,33517.50047,35732.62651,51374.92309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.66_770.5124m/z,,770.5124181,1,12.65755,0.137733333,2,0,0,Infinity,Condition 3,Condition 6,100 - 40.8,67253.33898,24.02,23363.81109,43616.94934,1278.516296,35301.44342,4535.719238,4742.684143,20884.9383,84668.3194,101540.1558,33466.40128,21297.08944,52528.04268,81745.68091,50093.34198,80707.13086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.62_891.7386m/z,,891.7386116,1,13.61718333,0.057766667,114,0,0,Infinity,Condition 6,Condition 1,100 - 41,49704.44819,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55688.52105,36221.42133,46081.95695,16704.56191,17791.72748,16706.27631,18113.62361,21361.68069,11298.25818,27871.06833,6934.576019,8811.832459,16192.29524,19135.5434,5616.800293
13.60_953.7534m/z,,953.7534182,1,13.59616667,0.078716667,79,0,0,Infinity,Condition 6,Condition 1,100 - 8.7,43223.8528,29.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38912.88019,24844.38475,55647.30423,9983.237742,17274.34664,16607.24438,6321.182039,9611.271545,13243.82705,33570.28932,10137.97722,12771.78848,26009.50424,42193.20889,44285.48971
13.28_863.6476m/z,,863.6475624,1,13.2807,0.032866667,8,0,0,Infinity,Condition 5,Condition 7,100,40370.90923,6.88,6370.465088,32385.58484,22523.90137,38841.70001,26958.5116,28060.99158,20747.04978,35139.7428,10227.21265,28202.63007,29625.13872,26481.79367,40834.74544,46667.09858,45878.0836,726.5521851,448.045929,382.4364929,0,0,0,0,0,0,0,0,0,3528.207703,931.8246307,6300.15622
12.19_693.5422m/z,,693.5422067,1,12.18615,0.04865,13,0,0,Infinity,Condition 3,Condition 6,100 - 22.1,35876.13762,8.78,11149.77233,21607.08337,25384.91887,25835.43711,42636.46572,33648.01335,45203.64165,36105.34392,26066.26506,33858.72382,31982.9891,29372.92981,27468.11039,26806.49675,21090.76138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.13_693.5425m/z,,693.5424734,1,12.12696667,0.048266667,13,0,0,Infinity,Condition 4,Condition 6,100 - 23.2,33940.74549,9.05,19019.846,19280.08472,22786.38287,22758.96216,19418.08574,27558.74249,15855.33748,31449.6005,19444.66754,30728.04907,37170.99648,34379.36783,29748.89664,30352.3804,25889.93024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.73_629.4534m/z,,629.4533901,1,11.72981667,0.061,3,0,0,Infinity,Condition 2,Condition 6,100 - 36.2 - 0.869,32122.92979,15.95,15874.80488,23793.77478,18176.72681,33146.68714,28533.87648,40213.27621,1107.319687,13209.96849,25921.21554,9330.226044,6712.011642,11464.98866,21467.49775,26063.25223,39378.75947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.80_908.6465m/z,,908.6465228,1,11.80173333,0.099033333,1,0,0,Infinity,Condition 7,Condition 1,100 - 25,21669.37461,19.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25558.79443,18152.0489,17515.49761,0,0,0,0,0,0,0,0,0
14.25_868.7371m/z,,868.7371129,1,14.24778333,0.0439,51,0,0,Infinity,Condition 1,Condition 6,100 - 49.1,21372.56935,46.93,54808.31055,19342.51348,7393.260314,7972.043915,3611.407977,13700.26625,2336.43634,18157.20365,36944.89908,3464.646667,9857.97345,7149.43738,5101.047607,4242.068939,11060.06091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.19_721.6217m/z,,721.6216551,1,13.18716667,0.027533333,1,0,0,Infinity,Condition 4,Condition 6,100,21296.59058,6.49,2932.871488,6579.15529,7406.855913,15448.57335,10573.65143,14286.92239,19409.16858,16260.01307,8552.476562,19921.29175,22827.36829,21416.87366,26835.45054,22338.44771,20520.00759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.80_629.4534m/z,,629.4533756,1,11.80173333,0.0384,3,0,0,Infinity,Condition 2,Condition 6,100 - 31.9,21039.88949,11.84,17468.61044,10501.384,13320.36942,21865.03956,19499.46855,25346.39716,331.453598,7082.876487,12228.56997,3557.037277,2268.11175,3963.812197,3383.713623,6465.739676,9375.856078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.25_885.7842m/z,,885.7842364,1,12.25121667,0.119916667,82,0,0,Infinity,Condition 7,Condition 1,100,19515.01224,30.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23356.24664,19814.29325,11965.13425,0,0,0,0,0,0,0,0,0
13.14_399.2520m/z,,399.2519933,1,13.1376,0.12675,1,0,0,Infinity,Condition 5,Condition 1,100 - 17.6,19407.95743,10.67,0,0,0,0,0,0,0,0,0,0,0,0,21480.96216,22975.13486,19559.01118,0,0,0,0,0,0,0,0,0,0,0,0,1436.85582,1252.068824,23219.23344
12.02_810.6735m/z,,810.673461,1,12.02005,0.107716667,1,0,0,Infinity,Condition 7,Condition 1,100,17601.77228,35.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19413.9669,20498.68246,9753.465302,0,0,0,0,0,0,0,0,0
11.37_830.5048m/z,,830.5047784,1,11.36666667,0.0439,6,0,0,Infinity,Condition 10,Condition 1,100 - 41.2,15506.37913,1.97,0,0,0,0,0,0,0,0,0,0,0,0,7077.2565,7195.386884,7311.354553,0,0,0,0,0,0,0,0,0,0,0,0,5457.875711,5100.103198,28617.11027
12.27_604.6012m/z,,604.6011719,1,12.27301667,0.0871,3,0,0,Infinity,Condition 7,Condition 1,100 - 8.5,13063.89713,23.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15786.72909,11340.40081,9795.125776,0,0,0,0,0,0,0,0,0
13.10_491.4086m/z,,491.4086394,1,13.099,0.01655,2,0,0,Infinity,Condition 1,Condition 6,100,11012.93756,4.01,17065.94873,11282.34863,10965.16553,10916.94617,10013.10079,11237.50923,1287.451433,7031.453697,7788.716516,5147.781317,2664.163533,5084.649133,7483.496252,7143.9254,7009.964463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.36_980.8614m/z,,980.8614165,1,15.36261667,0.038466667,55,0,0,Infinity,Condition 3,Condition 6,100,10156.34926,26.08,13627.80452,8427.6347,5017.351907,3014.790985,10088.81023,1888.16317,1003.125604,20879.70546,9824.806278,1644.590459,1729.6062,3151.333234,896.7553101,1492.491258,1194.756481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.42_858.7547m/z,,858.7546803,1,14.41775,0.03845,52,0,0,Infinity,Condition 3,Condition 6,100,9880.491281,18.31,12350.74282,6563.512885,4633.316828,3423.479034,1985.083481,2334.642761,1282.197784,6409.125995,22690.73287,1597.76651,1945.910004,5313.375244,4930.52953,3517.452362,3885.119293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.30_894.7534m/z,,894.753409,1,15.2966,0.016483333,52,0,0,Infinity,Condition 3,Condition 6,100,6993.418728,14.65,6816.034122,3317.101135,3073.070084,1208.335083,1010.454779,7067.526798,1636.450607,5655.822754,14187.34352,2394.378426,2247.754006,3031.377647,1432.956894,4433.043152,5561.454437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.65_552.4020m/z,,552.402006,1,6.646633333,0.017816667,3,0,0,Infinity,Condition 3,Condition 6,100 - 34,6487.325978,10.41,2529.557156,4089.709059,4508.552904,6308.061253,4650.257713,5312.075208,6273.651709,5982.900089,7299.294292,5681.871727,7297.934287,6490.963028,5586.254782,5411.986818,4786.642147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.86_894.7534m/z,,894.7534306,1,14.85721667,0.0165,52,0,0,Infinity,Condition 3,Condition 6,100,5874.629554,5.27,7734.544528,5554.339371,5461.240816,2772.561218,2072.468009,1206.182093,2324.651718,10144.33655,5666.268799,2987.160217,2922.642283,2784.89948,3669.000244,4684.275116,4409.39212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.25_385.1772m/z,,385.1772469,1,13.25323333,0.038533333,1,0,0,Infinity,Condition 8,Condition 1,100 - 1.5,5094.755071,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2923.660869,4521.802014,2711.125878,3188.124962,2709.173739,2854.776741,5192.187305,4042.081059,4432.734489,2823.831055,4955.998113,3449.807358,3136.184276,2675.212726,2563.148798
15.16_894.7531m/z,,894.7531396,1,15.15925,0.016466667,52,0,0,Infinity,Condition 3,Condition 6,100,4969.699138,20.78,6360.779847,6636.696049,4054.999558,1327.408524,1786.276489,2247.073044,1974.827026,6956.732405,6358.135556,3484.606171,7023.805862,482.6782379,1362.094184,2987.438995,4597.565491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.81_754.6890m/z,,754.6889812,1,13.8109,0.047233333,8,0,0,Infinity,Condition 9,Condition 1,100,4820.276745,24.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3463.895874,1442.754065,532.756134,1220.407593,3987.947357,3036.673157,3087.190521,4468.629811,5556.331055,0,0,0
13.90_610.5391m/z,,610.5390908,1,13.90048333,0.047816667,7,0,0,Infinity,Condition 8,Condition 1,100,4520.146265,10.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4714.543106,3604.287521,994.8182777,3328.66988,3293.475429,3884.562819,5462.490867,4292.442224,2339.843201,1476.630569,4562.981521,2412.805297,0,0,0
13.44_338.2314m/z,,338.2314457,1,13.43775,0.031916667,3,0,0,Infinity,Condition 8,Condition 1,100 - 1.11,3952.94401,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3257.254985,4535.044386,3023.031989,4246.311939,2848.953744,3300.447858,4528.478732,3009.185286,3056.543939,2398.533272,3810.819078,3714.974004,3308.704742,2999.934825,1575.950666
13.05_593.5127m/z,,593.5127047,1,13.05486667,0.01655,7,0,0,Infinity,Condition 1,Condition 5,100,3928.194963,8.73,8577.502661,3255.507233,2753.071899,3352.557441,2149.838652,1765.770355,1069.655031,1423.740143,1259.819564,445.5958405,381.6854553,720.5403748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.07_632.4354m/z,,632.4353895,1,14.06733333,0.065333333,6,0,0,Infinity,Condition 8,Condition 1,100,3881.913529,13.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2569.154019,2951.168182,1543.224365,4178.510113,3078.818398,3340.647675,3740.521484,3863.927431,2802.209166,2562.807224,2427.134862,3376.919686,629.1551514,1639.134674,491.8538055
13.35_399.3263m/z,,399.3263187,1,13.3517,0.03815,18,0,0,Infinity,Condition 9,Condition 1,100 - 1.21,3523.793391,17.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2950.545444,2046.532335,2544.977121,3168.034341,4067.832778,2662.363921,3508.073528,2079.748972,3537.381591,2694.303993,2381.386228,4542.473246,1938.944869,1773.913658,1256.776508
13.29_606.6173m/z,,606.6172972,1,13.28618333,0.054733333,3,0,0,Infinity,Condition 7,Condition 1,100 - 4.2,3506.94907,26.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184.821594,2821.665179,4022.814145,2622.132896,2517.054253,4722.674382,1316.13708,3223.596286,4714.231624,2574.841185,1594.387031,2906.392427,1578.071816,1150.162241,2070.242245
14.00_143.1427m/z,,143.1427497,1,13.99673333,0.317483333,23,0,0,Infinity,Condition 8,Condition 1,100,3322.205165,10.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992.867564,2742.27709,1129.725807,2492.948743,2906.334037,3061.105539,2896.890282,3282.774709,2734.033424,2335.129568,3066.10228,3433.380716,578.6285305,1158.670804,339.9939861
13.03_469.3495m/z,,469.3495186,1,13.03283333,0.09935,9,0,0,Infinity,Condition 9,Condition 1,100,3240.686404,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3197.153611,2553.505269,2129.717438,2360.363448,2358.145468,2277.439591,2446.365665,2825.812758,1988.073098,3291.361925,2282.836789,3185.667379,2064.154315,1939.264039,1631.501779
14.07_619.5257m/z,,619.5256858,1,14.07278333,0.0708,15,0,0,Infinity,Condition 9,Condition 1,100,3014.023389,16.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2346.409913,2746.451869,1930.368729,2173.601999,1782.046119,1004.39592,2878.43861,3435.82568,1754.969144,1814.326329,2427.881032,3998.480706,1348.259109,249.2929611,299.0571768
13.40_343.2613m/z,,343.2613224,1,13.39505,0.021516667,20,0,0,Infinity,Condition 9,Condition 1,100 - 0.646,2778.97337,13.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1742.512711,2557.090333,1659.146277,2595.586288,2146.064941,2852.488647,2773.364853,2028.018993,2614.058071,3021.921177,2743.721728,1660.932617,1907.23774,1890.527662,381.684845
13.90_522.5964m/z,,522.5964205,1,13.90048333,0.058416667,1,0,0,Infinity,Condition 8,Condition 1,100,2774.496288,49.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364.025177,783.4936447,338.7259923,300.7369843,1938.170909,1432.211037,1336.480888,3939.774269,2175.169746,623.7771912,3393.429511,2473.074433,0,0,0
11.88_810.6757m/z,,810.6757449,1,11.8784,0.022,3,0,0,Infinity,Condition 7,Condition 1,100,2477.150618,48.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1917.665771,3570.457058,1472.487122,0,0,0,0,0,0,0,0,0
12.96_659.5236m/z,,659.5235626,1,12.95555,0.044116667,1,0,0,Infinity,Condition 6,Condition 1,100,2408.449836,14.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1531.368743,2156.61647,2963.684543,2404.301174,1824.158807,2395.49982,1401.953247,1742.868061,3050.532586,822.0554658,2470.371246,853.9966718,1643.918153,345.742157,2786.906747
13.28_397.2737m/z,,397.2736565,1,13.2807,0.027383333,36,0,0,Infinity,Condition 6,Condition 1,100 - 1.72,2393.878408,4.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2121.219556,2771.091457,1763.17013,2120.702019,2123.042976,1932.888691,1082.391868,3422.320644,1788.372732,1956.50584,867.742575,1993.150071,1192.056342,1207.136406,613.6751099
13.93_649.5903m/z,,649.5903413,1,13.92705,0.03195,4,0,0,Infinity,Condition 7,Condition 1,100 - 6.72,2138.719478,32.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440.7293091,845.2948608,760.2351074,1017.338547,2159.321411,2816.30304,1761.675786,2870.694748,477.3362732,1017.87001,1898.074617,2550.095963,0,0,0
13.26_482.3678m/z,,482.3678444,1,13.25873333,0.044,1,0,0,Infinity,Condition 7,Condition 1,100 - 2.69,1893.243115,18.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1269.74741,1858.311878,1236.817752,2259.827168,1783.351705,1306.175913,1764.067207,1417.671446,1268.529136,1204.859013,1356.128589,2334.086434,604.5947777,793.7182236,1065.221359
13.29_522.5962m/z,,522.5961968,1,13.28618333,0.03835,1,0,0,Infinity,Condition 8,Condition 1,100,1806.479288,10.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1484.198582,1248.137939,1174.95015,717.9905414,1778.388888,929.8109894,574.7381746,2904.65255,1374.037445,975.9473267,1486.624771,1034.530159,1675.982788,1450.920685,925.4514596
12.63_635.4988m/z,,635.4988358,1,12.6301,0.055016667,5,0,0,Infinity,Condition 6,Condition 1,100,1792.100912,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1858.12059,1939.452888,1191.569504,338.7416763,733.4755402,1218.385193,947.3656425,2054.019554,1222.459457,1443.137604,1714.030758,910.5405426,956.419754,858.023674,471.0968399
14.08_640.6012m/z,,640.60115,1,14.07823333,0.027233333,3,0,0,Infinity,Condition 8,Condition 1,100,1781.760658,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1217.770203,1367.030278,1196.657287,373.2052307,672.1025543,2846.917984,1472.546425,1041.579263,2279.259708,1142.37895,809.2673301,1074.798668,0,0,0
13.36_642.6013m/z,,642.6013065,1,13.36258333,0.0326,9,0,0,Infinity,Condition 9,Condition 1,100,1765.687579,39.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1360.555923,1624.180161,526.1043777,764.1658936,1550.931259,257.1242523,1380.63385,527.0303116,2481.258476,1688.091036,2069.788912,955.4589691,1828.354111,761.9287567,585.8400879
14.25_619.5261m/z,,619.5260833,1,14.25325,0.038233333,15,0,0,Infinity,Condition 7,Condition 1,100,1652.361664,6.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1478.202534,1314.933821,1259.804459,1006.630966,1418.925595,2212.705292,1636.075616,1708.377504,1016.065621,2048.341163,1048.049806,1255.305134,820.9936981,1017.230664,533.6733751
13.32_614.5701m/z,,614.5700957,1,13.32443333,0.027316667,8,0,0,Infinity,Condition 7,Condition 1,100 - 21.7,1468.710974,26.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350.17138,198.3425598,727.9916992,1137.772926,1864.974985,1125.296547,529.2793274,539.8720474,1510.805756,311.2549744,1124.670125,1212.245823,228.8000412,399.5104523,297.4266968
14.03_339.1775m/z,,339.1774675,1,14.03468333,0.076,2,0,0,Infinity,Condition 7,Condition 1,100,1447.045357,23.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578.0309525,424.3548851,1104.118658,957.335646,1695.726173,1409.415643,1131.357353,669.3277512,1776.427352,991.3695106,1195.99786,1727.164483,148.4494095,345.8678207,190.522171
13.56_494.5647m/z,,494.5646908,1,13.56471667,0.05245,2,0,0,Infinity,Condition 9,Condition 1,100,1424.687374,43.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.6505691,663.0608199,1063.313059,548.00737,644.0193176,1938.875433,625.1146851,1450.251132,1816.640098,0,0,0
14.02_374.1412m/z,,374.1411818,1,14.02381667,0.070466667,1,0,0,Infinity,Condition 9,Condition 1,100,1356.927198,13.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831.4553205,640.176485,656.1708214,581.7119859,1006.097769,957.8483615,1272.478141,727.2787731,1399.357306,983.4541154,1509.355886,1166.216563,0,0,0
11.88_441.2966m/z,,441.2965515,1,11.8784,0.032966667,14,0,0,Infinity,Condition 9,Condition 1,100,1350.676035,12.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722.6643308,671.837825,299.7035814,224.5539169,498.2811356,180.2877655,328.6272278,688.5207753,708.9951284,1013.330505,1329.928608,1310.140611,410.3618088,942.155676,501.5407562
13.33_319.2863m/z,,319.2862945,1,13.3299,0.071033333,1,0,0,Infinity,Condition 9,Condition 1,100,1184.750691,32.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033.583451,619.5303519,422.0398696,613.3441844,1421.038931,1009.120545,558.436631,1319.515938,1145.458033,694.201597,1375.17476,1136.258959,255.7337746,738.2259516,445.7563274
13.24_417.3368m/z,,417.3367778,1,13.2367,0.03305,54,0,0,Infinity,Condition 9,Condition 1,100,1043.670687,20.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.7768784,451.606369,550.0278931,172.9767456,284.0815926,323.5141296,1061.285608,787.2200699,653.5061455,711.0129119,1098.629791,1014.252772,496.967495,106.986496,402.2240334
13.29_318.0759m/z,,318.0759177,1,13.28618333,0.0657,1,0,0,Infinity,Condition 9,Condition 1,100,1037.989344,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.8807526,644.3761475,305.5203915,186.1985626,786.3962669,899.6162148,763.9325447,746.4819548,752.8974113,843.9225426,596.8663024,1396.394936,536.9373888,722.8299502,201.3880354
13.26_387.3271m/z,,387.3271404,1,13.26425,0.054866667,3,0,0,Infinity,Condition 8,Condition 1,100,992.5598731,36.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483.7089551,1243.412512,658.993721,765.0237413,343.3263143,859.2421188,396.0812208,1230.148723,1044.11751,542.3490151,1170.926903,950.0990218,110.081089,409.755232,110.4141769
13.29_456.3671m/z,,456.3670993,1,13.28618333,0.032816667,1,0,0,Infinity,Condition 10,Condition 1,100 - 14.8,954.1969571,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468.364006,690.156189,665.7782974,788.7142642,877.1226692,823.0169373,569.4865204,1493.843719,480.0828018,247.8642616,534.8167958,1665.944323,1025.498692,836.6141701,651.7530212
14.05_374.3254m/z,,374.325446,1,14.04558333,0.048966667,5,0,0,Infinity,Condition 9,Condition 1,100,911.5349468,27.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403.8414653,299.7289925,553.6078036,542.3057976,919.1891174,721.1353836,1121.922114,544.0468864,617.5703464,561.2662008,1172.578291,720.3020997,163.4301866,138.1214969,263.0013899
